,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
0,359550,Tom Clancy's Rainbow Six Siege,Ubisoft Montreal,Ubisoft,,1057022,178737,0,"20,000,000 .. 50,000,000",16113,583,3683,270,799,1999,60,94346
1,431960,Wallpaper Engine,Wallpaper Engine Team,Wallpaper Engine Team,,735618,14560,0,"20,000,000 .. 50,000,000",4052,107,911,17,399,399,0,121026
2,413150,Stardew Valley,ConcernedApe,ConcernedApe,,641066,11415,0,"20,000,000 .. 50,000,000",3514,1099,1068,146,1499,1499,0,39044
3,620,Portal 2,Valve,Valve,,378147,4878,0,"10,000,000 .. 20,000,000",1013,145,500,242,999,999,0,3512
4,1203220,NARAKA: BLADEPOINT,24 Entertainment,NetEase Games Global,,168631,77385,0,"10,000,000 .. 20,000,000",6623,297,371,141,0,0,0,177901
5,242760,The Forest,Endnight Games Ltd,Endnight Games Ltd,,505910,23853,0,"10,000,000 .. 20,000,000",1680,437,950,45,1999,1999,0,7098
6,400,Portal,Valve,Valve,,149517,2301,0,"10,000,000 .. 20,000,000",494,0,147,0,999,999,0,848
7,532210,Life is Strange 2,"DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)",,27085,4642,0,"10,000,000 .. 20,000,000",262,0,192,0,3196,3196,0,222
8,255710,Cities: Skylines,Colossal Order Ltd.,Paradox Interactive,,234892,16915,0,"5,000,000 .. 10,000,000",4128,731,1028,582,2999,2999,0,12325
9,377160,Fallout 4,Bethesda Game Studios,Bethesda Softworks,,273473,56260,0,"5,000,000 .. 10,000,000",6101,377,2328,372,1999,1999,0,19809
10,1238810,Battlefield V,DICE,Electronic Arts,,139428,56940,0,"5,000,000 .. 10,000,000",5121,269,573,213,4999,4999,0,44123
11,370910,Kathy Rain,Clifftop Games,Raw Fury,,3367,281,0,"5,000,000 .. 10,000,000",1212,0,251,0,999,999,0,7
12,374320,DARK SOULS III,"FromSoftware, Inc.","FromSoftware, Inc., Bandai Namco Entertainment",,351176,21313,0,"5,000,000 .. 10,000,000",4124,250,1468,295,5999,5999,0,10085
13,489830,The Elder Scrolls V: Skyrim Special Edition,Bethesda Game Studios,Bethesda Softworks,,263570,25522,0,"5,000,000 .. 10,000,000",3561,184,587,275,3999,3999,0,27893
14,333930,Dirty Bomb,Splash Damage,Warchest Ltd.,,46857,10800,0,"5,000,000 .. 10,000,000",1376,0,59,0,0,0,0,555
15,203160,Tomb Raider,"Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Nixxes","Crystal Dynamics, Feral Interactive (Mac)",,221464,8866,0,"5,000,000 .. 10,000,000",606,0,482,0,1499,1499,0,1001
16,582660,Black Desert,Pearl Abyss,Pearl Abyss,,57730,19198,0,"5,000,000 .. 10,000,000",4547,0,359,0,999,999,0,21249
17,883710,Resident Evil 2,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",,145019,4660,0,"5,000,000 .. 10,000,000",955,0,762,0,3999,3999,0,1457
18,363970,Clicker Heroes,Playsaurus,Playsaurus,,53859,6115,0,"5,000,000 .. 10,000,000",11758,0,233,0,0,0,0,2826
19,319630,Life is Strange - Episode 1,"DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral interactive (Mac), Feral Interactive (Linux)",,157160,6268,0,"5,000,000 .. 10,000,000",534,0,178,0,0,0,0,396
20,1426210,It Takes Two,Hazelight,Electronic Arts,,146846,7449,0,"5,000,000 .. 10,000,000",1069,52,886,74,3999,3999,0,14203
21,306130,The Elder Scrolls Online,ZeniMax Online Studios,Bethesda Softworks,,116633,26049,0,"5,000,000 .. 10,000,000",7984,3,1405,3,1999,1999,0,18695
22,500,Left 4 Dead,Valve,Valve,,52144,2003,0,"5,000,000 .. 10,000,000",894,0,174,0,999,999,0,681
23,435150,Divinity: Original Sin 2 - Definitive Edition,Larian Studios,Larian Studios,,168878,7083,0,"5,000,000 .. 10,000,000",4933,439,2286,654,4499,4499,0,8238
24,424840,Little Nightmares,Tarsier Studios,BANDAI NAMCO Entertainment,,92887,5054,0,"5,000,000 .. 10,000,000",226,4,87,4,1999,1999,0,701
25,206420,Saints Row IV: Re-Elected,Deep Silver Volition,Deep Silver,,67683,8990,0,"2,000,000 .. 5,000,000",1087,0,766,0,1999,1999,0,211
26,55230,Saints Row: The Third,Volition,Deep Silver,,64655,2837,0,"2,000,000 .. 5,000,000",1508,0,747,0,999,999,0,264
27,391220,Rise of the Tomb Raider,"Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Feral Interactive (Linux), Nixxes","Crystal Dynamics, Feral Interactive (Mac), Feral Interactive (Linux)",,116597,7454,0,"2,000,000 .. 5,000,000",1825,11,736,11,2999,2999,0,1481
28,1225330,NBA 2K21,Visual Concepts,2K,,16317,22933,0,"2,000,000 .. 5,000,000",9678,0,5611,0,0,0,0,456
29,1056960,Wolfenstein: Youngblood,"Machine Games, Arkane Studios",Bethesda Softworks,,5803,7104,0,"2,000,000 .. 5,000,000",764,0,345,0,1999,1999,0,121
30,39210,FINAL FANTASY XIV Online,Square Enix,Square Enix,,63381,8306,0,"2,000,000 .. 5,000,000",18159,0,3208,0,1999,1999,0,27425
31,884660,CRSED: F.O.A.D.,Darkflow Software,Gaijin Network Ltd,,30087,8023,0,"2,000,000 .. 5,000,000",5946,0,45,0,0,0,0,211
32,261640,Borderlands: The Pre-Sequel,"2K Australia, Gearbox Software, Aspyr (Linux)","2K, Aspyr (Linux)",,32159,7365,0,"2,000,000 .. 5,000,000",1787,0,855,0,999,3999,75,783
33,546560,Half-Life: Alyx,Valve,Valve,,85519,1409,0,"2,000,000 .. 5,000,000",849,16,377,20,5999,5999,0,657
